nazwa,grupa,sprzet,trudnosc,opis,bledy,jednostronne,pomiar
Wyciskanie hantli na ławce skośnej ujemnej,klatka_piersiowa,Ławka skośna ujemna/hantle,2,Ławka nachylona głową w dół. Hantle opadają do dolnej części klatki z kontrolą.,Zbyt szybkie tempo. Zderzanie hantli na górze ruchu.,nie,reps
Pull-over na wyciągu górnym,klatka_piersiowa,Wyciąg górny/lina,2,Stań przodem do wyciągu ramiona proste. Prowadź linę łukiem od góry do bioder angażując klatkę i najszerszy.,Zginanie łokci w trakcie ruchu. Zbyt duży ciężar skracający zakres.,nie,reps
Wyciskanie sztangi siedząc (seated OHP),barki,Ławka pionowa/sztanga,2,Siedząc plecy oparte. Wypychaj sztangę znad barków do pełnego wyprostu ramion.,Nadmierny łuk w plecach. Odbijanie sztangi od klatki.,nie,reps
Wyciskanie hantli siedząc,barki,Ławka pionowa/hantle,2,Siedząc hantle na wysokości barków. Wypychaj do góry z lekkim zbliżeniem hantli na szczycie.,Zbyt szerokie odchylenie łokci. Przeprost w plecach.,nie,reps
Wyciskanie na maszynie barkowej,barki,Maszyna,1,Siedząc uchwyty na wysokości barków. Wypychaj do góry po ustalonym torze maszyny.,Zbyt szybkie tempo. Niepełny zakres ruchu.,nie,reps
Wyciskanie w landmine jednorącz,barki,Sztanga w landmine,2,Koniec sztangi trzymany jedną ręką przy barku. Wypychaj po łuku do przodu i w górę.,Rotacja tułowia zamiast pracy barku. Zbyt duży ciężar.,tak,reps
Unoszenie przodem na wyciągu,barki,Wyciąg dolny,1,Linka z tyłu unoszona przed siebie do wysokości oczu. Kontrolowane tempo bez bujania.,Bujanie ciałem. Zbyt duży ciężar skracający zakres.,nie,reps
Unoszenie przodem z talerzem,barki,Talerz,1,Talerz trzymany oburącz przed sobą. Unoś do wysokości oczu z lekko ugiętymi łokciami.,Bujanie tułowiem. Zbyt szybkie tempo.,nie,reps
Y-raise z hantlami,barki,Ławka skośna/hantle,2,Leżenie przodem na skośnej ławce. Unoś ramiona w kształt litery Y angażując dolne pułapki i barki.,Zbyt ciężkie hantle skracające zakres. Bujanie ramionami.,nie,reps
Cuban press,barki,Hantle,2,Z pozycji uginania łokci wykonaj rotację zewnętrzną a następnie wyciśnięcie nad głowę. Łączy rotator cuff z wyciskaniem.,Zbyt duży ciężar uniemożliwiający pełną rotację. Szarpanie.,nie,reps
Podciąganie sztangi wysoko (high pull),barki,Sztanga,3,Dynamiczne przyciągnięcie sztangi wzdłuż tułowia do wysokości klatki z uniesieniem łokci.,Ciągnięcie samymi rękami bez pracy nóg i bioder. Zbyt duży ciężar.,nie,reps
Wypychanie znad barków (push press),barki,Sztanga,3,Lekkie ugięcie kolan i dynamiczny wyprost napędza sztangę w górę wspomagając wyciskanie nogami.,Brak synchronizacji nóg z wypchnięciem. Odchylanie tułowia do tyłu.,nie,reps
Rozpiętki tylnego barku na skośnej ławce,barki,Ławka skośna/hantle,2,Leżenie przodem na skośnej ławce. Unoś ramiona w bok angażując tylny naramienny i łopatki.,Bujanie ramionami. Zbyt ciężkie hantle.,nie,reps
Wyciskanie hantli nad głowę jednorącz,barki,Hantle,2,Jedna ręka wyciska hantel nad głowę druga stabilizuje tułów. Wymaga większej kontroli core.,Przechylanie tułowia w bok. Niepełny wyprost ramienia.,tak,reps
Krążenia ramion z obciążeniem,barki,Hantle,1,Lekkie hantle w wyprostowanych ramionach. Wykonuj powolne krążenia w obu kierunkach.,Zbyt ciężkie hantle. Zbyt szybkie tempo tracące kontrolę.,nie,reps
Wyciskanie znad głowy z gumą oporową,barki,Guma oporowa,1,Guma pod stopami trzymana przy barkach. Wypychaj nad głowę pokonując rosnący opór gumy.,Zbyt luźna guma bez oporu na starcie. Odchylanie tułowia do tyłu.,nie,reps
